audience,cost,description,features,icon,name,platform,url
addict,free,"Accountability Pal monitors Internet usage and sends e-mail reports to accountability partners.  It is designed to be run on a server.  It is incomplete, and was last updated in 2005.",abandoned accountability dead gateway incomplete monitoring network opensource,"",accountabilitypal,linux windows,http://www.accountabilitypal.org/
addict,$7/month,"Accountable2You originated as a personal replacement for other, slower, accountability software and has since blossomed into a product in its own right.  The product site and product interface are quite nice.",accountability monitoring timer,https://lh6.googleusercontent.com/-BhjARoRU0Xc/VHzImGaZwfI/AAAAAAAAABc/cwaNFOypo9c/w962-h962/AU2%2BLOGO_WHITE_2.png,Accountable2You,android ios linux macosx windows,https://www.accountable2you.com/
overlord,"","","","",ActivityLogger,"",http://www.softactivity.com/
overlord,free to $336 / month / 5 users,"",filtering monitoring screenshots,"",ActivTrak,macosx windows,http://activtrak.com/
antiad,"","","","",Adblock Plus,browser,https://addons.mozilla.org/en-US/firefox/addon/adblock-plus/
"","","","","",Adult Blocker,browser,https://addons.mozilla.org/en-US/firefox/addon/adult-blocker/
"","","","","",AhnLab SiteGuard,"",""
"","","","","",Anti-Porn Pro,browser,https://addons.mozilla.org/en-US/firefox/addon/cloudacl-anti-porn-pro/
"","","","","",Anti-Porn Warning,browser,https://addons.mozilla.org/en-US/firefox/addon/apm/
parent addict general,$50 (free trial),"",filtering monitoring,"",Aobo,macosx windows,http://aobo.cc/aobo-filter.html
"","","","","",AppLock,"",""
"",free,"",beta icap,"",Archangel,"",https://code.google.com/p/archangel/
"","","","","",Astaro - Parental Control for Wii,"",""
antiad hermit,"",Can optionally use AdBlockPlus filters and optional low bandwidth (no-image and no-javascript) mode.,"","",Atlas Web Browser,android,https://play.google.com/store/apps/details?id=nextapp.atlas
parent,"","",antivirus,"",AVG Family Safety,windows,http://www.avg.com/us-en/avg-family-safety
"","","","","",baconreader,"",""
parent,$9/month,"",monitoring social,"",bark,android ios,https://www.bark.us/
"",$70,"",antivirus,"",BitDefender Internet Security,windows,http://www.bitdefender.com/solutions/internet-security.html
slacker,"","","","",Blacklist,ios,https://itunes.apple.com/en/app/blacklist-website-blocker/id1081580076?mt=8
general parent,"","",blacklist keyword password whitelist,"",Block site,chrome,https://chrome.google.com/webstore/detail/block-site/eiimnmioipafcokbfikbljfdeojpcgbh/
parent general overlord,"","Block.si is a Firefox and Chrome extension that blocks content according to categories that are controlled by the end-user, parent, or overlord depending on the device.",biglist cloud filtering,"",Block.si,browser,https://addons.mozilla.org/en-US/firefox/addon/blocksi/
parent general overlord,$60 upfront + $30/year after 2 free years,The Blocksi router is a physical device intended to be installed as the network router at home for families.,biglist cloud filtering hardware monitoring,"",Blocksi Router,network,http://www.blocksi.net/parental-control.php
"",$12/year,"",filtering,"",Boomerang Parental Control,android,http://nationaledtech.com/
"","","","","",Brightfilter Parental Control,"",""
overlord,$80,"",filtering free monitoring trial,"",BrowseControl,windows,http://www.browsecontrol.com/
"","","",dead,"",BSecure,"",""
parent,"","",dead,"",Buddy Browser,macosx windows,http://www.buddybrowser.com/Free-Parental-Controls.cfm
"","","",antivirus,"",BullGuard Internet Security,"",https://www.bullguard.com/
antiad,"",A minimalist browser that uses few system resources and that blocks ads.,"","",ButterFly Browser,"",https://play.google.com/store/apps/details?id=acr.browser.butterfly
"","","","","",CA Security Suite,"",""
parent,"","","","",Care4teen,"",http://www.care4teen.com/
